"last_name, first_name","player_id","year","home_run","walk","k_percent","b_intent_walk","avg_swing_speed","fast_swing_rate","launch_angle_avg","sweet_spot_percent","hard_hit_percent","whiff_percent"
"Perez, Salvador",521692,2024,27,44,19.8,"9","73.2",33.3,"19",39.4,44.8,27.8
"Machado, Manny",592518,2024,29,45,19.3,"6","75.2",52.6,"12.7",33.8,48.8,24.4
"India, Jonathan",663697,2024,15,80,19.6,"0","71.7",22.2,"13.5",39.3,36.5,19.2
"Alvarez, Yordan",670541,2024,35,69,15,"16","76.5",63,"18.3",35.4,49.7,19.9
"Taveras, Leody",665750,2024,12,42,21.2,"0","71.3",14.8,"14.7",31.5,35.5,26.2
"McMahon, Ryan",641857,2024,20,69,28.7,"4","72.5",26.3,"10",36.5,49.7,30
"Olson, Matt",621566,2024,29,71,24.8,"5","73.8",38.7,"16.1",35.4,47.4,26.3
"Semien, Marcus",543760,2024,23,64,14.6,"2","68.3",4.2,"17",33,35.2,20.2
"Winker, Jesse",608385,2024,14,63,20.9,"2","69.5",7.4,"14",30.1,37.4,19.6
"Arcia, Orlando",606115,2024,17,41,21.3,"1","70.9",13.5,"8.6",29.9,37.8,26.6
"Rutschman, Adley",668939,2024,19,58,16.1,"3","69.1",6.4,"18.8",35.4,36.6,17.1
"Cronenworth, Jake",630105,2024,17,61,18,"0","69.5",6.3,"13.9",35.4,36.7,17.1
"Lowe, Nathaniel",663993,2024,16,71,22.1,"1","73.3",29.3,"7.7",32.6,40,20.6
"Rafaela, Ceddanne",678882,2024,15,15,26.4,"1","70.1",6.8,"14.9",34.9,36.9,33
"Walker, Christian",572233,2024,26,55,24.1,"4","75",52.8,"16.6",35,48,25.6
"Frelick, Sal",686217,2024,2,39,14.9,"0","66.3",2.5,"9.7",30,19.5,12.9
"Mountcastle, Ryan",663624,2024,13,27,22.5,"0","75.1",50.6,"10.4",36.2,45.2,25.1
"Stott, Bryson",681082,2024,11,53,16.3,"1","68.2",1.9,"14",35.3,30.8,17
"Chapman, Matt",656305,2024,27,64,24.4,"3","76.6",64.1,"16.2",31.3,48.3,23.5
"Reynolds, Bryan",668804,2024,24,57,22.5,"3","71.6",17.1,"9.4",37.5,45.4,29.4
"Soler, Jorge",624585,2024,21,68,24.6,"0","75.4",56.6,"17.9",33.4,44.1,28.9
"O'Hoppe, Logan",681351,2024,20,33,29.7,"0","70.7",17.4,"15.3",42.9,46.3,33.6
"Ramos, Heliot",671218,2024,22,37,26.1,"2","75.2",55.2,"10.4",34.3,47.5,28.7
"Soto, Juan",665742,2024,41,129,16.7,"2","75.4",59.2,"10.7",35.4,57,21.5
"Marte, Ketel",606466,2024,36,65,18.2,"7","73.7",40.6,"9.4",33.7,53.8,21.3
"Harper, Bryce",547180,2024,30,76,21.9,"11","74",41,"13.5",36.1,48.2,26.7
"Kwan, Steven",680757,2024,14,53,9.4,"0","64.4",0.4,"14.9",38.5,23.7,8.2
"Langford, Wyatt",694671,2024,16,51,20.6,"3","74.5",48.2,"16.6",31.3,43.4,22.9
"Chisholm Jr., Jazz",665862,2024,24,53,24.5,"5","71.9",23.3,"11.4",29.6,41.1,29.3
"Naylor, Josh",647304,2024,31,58,16.6,"7","72.9",32.7,"11.1",30.1,40.9,22.4
"Schanuel, Nolan",694384,2024,13,68,17,"0","65.2",2.6,"10.3",36.4,25.4,14.4
"Suárez, Eugenio",553993,2024,30,49,27.5,"0","72.2",21.5,"19.5",40.4,42.4,29.1
"Peña, Jeremy",665161,2024,15,25,17.1,"1","72.6",22.5,"7.5",29.2,38.8,24.9
"Stephenson, Tyler",663886,2024,19,48,22.7,"2","70.8",9.4,"10.9",33,43.9,22.7
"Witt Jr., Bobby",677951,2024,32,57,15,"9","74.7",48.3,"15.1",35.7,48.3,22.3
"Castellanos, Nick",592206,2024,23,41,21.1,"2","71.9",22.8,"15.2",39,38.2,30.1
"Bohm, Alec",664761,2024,15,40,14.2,"2","72.2",21.7,"10.1",35.2,45.6,17.6
"De La Cruz, Elly",682829,2024,25,69,31.3,"2","75.2",53.9,"9.7",35.7,45.7,33.4
"Bellinger, Cody",641355,2024,18,45,15.6,"7","69",5.2,"17.4",32.9,32.9,22.2
"De La Cruz, Bryan",650559,2024,21,29,27.3,"1","71.8",19.8,"13.1",35.6,41.3,30.1
"Castro, Willi",650489,2024,12,51,23.6,"0","70.6",15.5,"13.6",39,36.8,29
"Profar, Jurickson",595777,2024,24,76,15.1,"4","71.7",22.7,"13.4",31.3,44.4,17
"Lindor, Francisco",596019,2024,33,56,18.4,"0","72.4",23.6,"17",35.4,47.4,23.7
"Ohtani, Shohei",660271,2024,54,81,22.2,"10","76.3",64,"16.2",37.8,60.1,29.8
"Suzuki, Seiya",673548,2024,21,63,27.4,"3","73",35,"16.2",38.8,49.2,24.5
"Garcia, Luis",671277,2024,18,27,16.3,"2","71.7",22.7,"8.2",32.8,41.7,21.3
"McCutchen, Andrew",457705,2024,20,58,25.8,"1","72.7",25.3,"14.3",31.9,36.9,28.9
"Young, Jacob",696285,2024,3,30,19.6,"0","68.2",1.4,"4",28.1,28.9,19.3
"Steer, Spencer",668715,2024,20,72,20.9,"1","71.6",13.6,"17.4",34.2,39.9,23.1
"Garcia, Maikel",672580,2024,7,42,16.5,"0","70.8",10.8,"6.4",34.1,42.8,15.7
"Springer III, George",543807,2024,19,60,18.7,"0","71.9",22.3,"9.4",29.2,37.4,25.3
"Merrill, Jackson",701538,2024,24,29,17,"1","72.2",21.6,"14.6",39.6,43.9,20.5
"Santander, Anthony",623993,2024,44,58,19.4,"3","73.1",33.8,"22.7",35,41.6,20
"Hoerner, Nico",663538,2024,7,44,10.3,"1","68.2",2.8,"10.4",36,27.6,11.9
"Smith, Josh",669701,2024,13,46,20.4,"1","70.1",6.8,"15.4",33.7,37.1,21.8
"Freeman, Freddie",518692,2024,22,78,15.7,"9","69.8",10.1,"14.3",43.1,41.8,20.2
"Betts, Mookie",605141,2024,19,61,11,"2","69",9.6,"21.4",39.3,39.5,14.9
"Busch, Michael",683737,2024,21,63,28.6,"1","70.3",11.3,"17.2",36.4,39.9,28.4
"Happ, Ian",664023,2024,25,80,25.6,"1","72.4",23.7,"15.1",37,45.2,27.9
"Thomas, Lane",657041,2024,15,44,25.9,"1","71.7",16.9,"17",31.5,40.6,23.3
"Neto, Zach",687263,2024,23,39,23.3,"1","71",14.7,"12.3",29,38.8,27.1
"Hernández, Teoscar",606192,2024,33,53,28.8,"3","73.2",31.7,"10.3",33.8,46.8,34
"Greene, Riley",682985,2024,24,64,26.7,"3","74.7",45.7,"12.2",39.1,47.1,26.8
"Nimmo, Brandon",607043,2024,23,77,23.8,"1","73.3",34.9,"11.2",33.7,47.4,23.4
"Langeliers, Shea",669127,2024,29,41,27.2,"2","74.1",42,"16.3",35.3,44,29.2
"Volpe, Anthony",683011,2024,12,42,22.6,"1","69.3",3.7,"8.4",33.3,35.4,22.6
"Ramírez, José",608070,2024,39,54,12,"12","71.5",18.9,"19.6",34,39.7,15.2
"Gelof, Zack",680869,2024,17,38,34.4,"0","71.6",11.7,"14.2",34.4,37.2,36.4
"Garcia, Adolis",666969,2024,25,45,27.8,"2","72",23,"15",33.7,48.2,34.3
"Judge, Aaron",592450,2024,58,133,24.3,"20","77.1",74.8,"19",40.8,61,30.7
"Duran, Jarren",680776,2024,21,54,21.8,"1","73.6",36.2,"9.5",33.8,43.9,24.8
"Guerrero Jr., Vladimir",665489,2024,30,72,13.8,"12","75.9",57.5,"7.4",35.1,54.9,21.5
"Doyle, Brenton",686668,2024,23,46,25.4,"1","70.9",8.1,"13.2",37.4,41.4,29.8
"Winn, Masyn",691026,2024,15,41,17.1,"1","70.2",11.5,"13.2",33.5,32.7,19
"Cowser, Colton",681297,2024,24,52,30.7,"2","73.8",40.6,"13",32.1,46.1,30.4
"Diaz, Yainer",673237,2024,16,24,17.3,"1","72.5",23.6,"8.9",35,47.5,24
"Burger, Jake",669394,2024,29,31,25.9,"2","74.7",46.9,"13",32.4,46.8,30.1
"France, Ty",664034,2024,13,38,21.3,"0","71",14.3,"12.9",30.5,40,24.2
"Altuve, Jose",514888,2024,20,47,17.4,"2","69.4",13,"14.1",35.4,31.2,22.1
"Smith, Will",669257,2024,20,51,19.3,"6","67.9",3.1,"18.7",38.3,42,20.9
"Raleigh, Cal",663728,2024,34,70,28,"4","74.5",45.1,"21.2",35.6,48.1,31
"Carroll, Corbin",682998,2024,22,73,19,"0","73.7",36.9,"12",27.8,40.8,20.3
"Burleson, Alec",676475,2024,21,35,12.8,"0","71.2",18,"13.6",34.3,41.7,19.2
"Pasquantino, Vinnie",686469,2024,19,40,12.8,"1","71.7",19.8,"14.6",31.9,46.5,14.5
"Hoskins, Rhys",656555,2024,26,53,28.8,"1","71.2",13,"20.8",29.7,42.2,26.3
"Abrams, CJ",682928,2024,20,40,21.3,"3","72.2",23.9,"15.1",33,40.7,24.7
"Rodríguez, Julio",677594,2024,20,38,25.4,"1","76.3",63.4,"10.5",33.2,48.4,30.9
"Keith, Colt",690993,2024,13,36,19.8,"2","71.3",14.3,"11.3",34.6,35.3,23.2
